chunk_id,document_id,sequence,text,section,token_count
C001,PD001,1,Every onboarding case must record legal entity name registration identifier registered address country of formation client type expected products and risk rating before review.,Profile Intake,23
C002,PD001,2,For legal entity customers collect ownership percentages and identify each natural person with twenty five percent or more ownership or effective control.,Ownership and Control,22
C003,PD001,3,Sanctions PEP and adverse media screening must be completed and cleared or escalated before onboarding approval.,Screening Clearance,15
C004,PD002,1,For Atlas Robotics Inc collect ownership chart control person identity source of wealth rationale EIN confirmation and Delaware formation certificate.,Atlas Enhanced Due Diligence,19
C005,PD002,2,If evidence is missing operations must request Delaware certificate IRS EIN letter board resolution for signer ownership chart and source of wealth memo.,Atlas Outreach Pack,22
C006,PD003,1,Northwind Maple Ltd requires provincial registration number authorized signer validation and business address evidence before periodic review closure.,Canada Periodic Review,17
C007,PD004,1,Baltic Correspondent Bank GmbH requires nested relationship review AML program evidence sanctions controls and correspondent banking senior approval.,EU FI Due Diligence,17
C008,PD005,1,Saffron Foods LLP may use GST registration business address and owner PAN evidence for low risk SME onboarding.,India SME Simplified,16
C009,PD001,4,Every onboarding decision must link each required action to the policy document section and version supporting it.,Decision Lineage,16
C010,PD002,3,Before approval validate case country client type and risk rating so only matching global and regional policies are applied.,Policy Applicability Check,17
